tweetid,text,manual_class
347727730982388000,"Aurora Loan Services v. Taylor, 09 CH 18869 (Circuit Court of Cook County, http://t.co/K43sUAY1zv",
347727753354830000,I wonder if Cook County Hospital still have people selling peanuts in the waiting rooms,
347727771138679000,Cook County has revised its Non-Titled Use Tax to alleviate the U.S. Commerce Clause Concerns.  Now for the rest of the tax...,
347727823215145000,Cook County Board Reduces Business Use Tax: CHICAGO (CBS) – The Cook County Board has voted to cut a tax that... http://t.co/yQIHJNwdDK,
347727975229293000,"Aurora Loan Services v. Taylor, 09 CH 18869 (Circuit Court of Cook County, http://t.co/ldfvmDwms2",
347730680194675000,"Wells Fargo v. Horwitz, 12 CH 00069 (Circuit Court of Cook County, Rooney, J.) http://t.co/hqMr0yYWBA",
347730781436785000,"Wells Fargo v. Horwitz, 12 CH 00069 (Circuit Court of Cook County, Rooney, J.) http://t.co/2taIic9S03",
347730908419338000,"Wells Fargo v. Horwitz, 12 CH 00069 (Circuit Court of Cook County, Rooney, J.) http://t.co/hqMr0yYWBA via @PropertyRightsL",
347731582418821000,Money forgone to providing free care skyrockets at Cook County Health while admissions drop. http://t.co/vBoPhwYcCw,
347733431330931000,RT @kschorsch: Money forgone to providing free care skyrockets at Cook County Health while admissions drop. http://t.co/vBoPhwYcCw,
347733577548583000,first of all ANYONE can have STDs. and cook county has one of the highest infection rates in the country,
347733774043324000,RT @OhEmmeG: first of all ANYONE can have STDs. and cook county has one of the highest infection rates in the country,
347734097961050000,Please educate them RT @OhEmmeG: first of all ANYONE can have STDs. and cook county has one of the highest infection rates in the country,
347864715495629000,Cook county fans are as annoying as gator fans,Sports
347734338336608000,Cook: The Greening of Cook County http://t.co/MSTo0OV7Tp,
347734407538418000,RT @OhEmmeG: first of all ANYONE can have STDs. and cook county has one of the highest infection rates in the country,
347735861217079000,Cook County Board votes to lower business use tax http://t.co/V45aCDdEgd,
347736632906097000,Tax on property bought OUTSIDE #CrookCounty : Cook County tax reduced to fend off lawsuits http://t.co/QEiDPEDj2s via @crainschicago,News
347738328931635000,@LCBOrlando @Orlando_tech Chef Michele at West Orange County Club is hiring a Line Cook  http://t.co/DIXyL40T53,Junk
347739396507840000,Not the Cook I thought... Get well soon... &gt;Cook suffers suspected heart attack http://t.co/SJ0Y6mPT6t via @espncricinfo,Junk
347740948802970000,"Cook County (Chicago) population density per sq mile - 5,518. San Diego County - 746.5 (2011)",
347741251321352000,"@j_p_a_ Cook County 945 square miles, SD County 4,207. Less density and much larger area.",
347742072176009000,Cook County Health trims taxpayer subsidy http://t.co/YxWEjA4SGZ via @crainschicago,News
347742363835306000,Cook suffers suspected heart attack http://t.co/sg5q3htgj8 via @espncricinfo,Junk
347743941778616000,They just recently built a whole new jail for Cook County.. But in other news: Thry tearin our schools down smh..,Jail
347744448211456000,RT @RealProblem_HD: They just recently built a whole new jail for Cook County.. But in other news: Thry tearin our schools down smh..,Jail
